Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,streamDur,Response,versionName,repGoal
Human,1,1,Line,55,Visual,TE,6.25,3.5,4.75,6.25,5.92172388,Calibrated,Stream
Human,1,1,Line,56,Visual,TE,3,3,3.65,5.25,5.174152475,Calibrated,Target
Human,1,1,Line,56,Visual,TE,5.25,3,4.83,5.25,5.174152475,Calibrated,Stream
Human,1,1,Line,57,Visual,TE,4,4,3.82,7.25,4.502217792,Calibrated,Target
Human,1,1,Line,57,Visual,TE,7.25,4,6.78,7.25,4.502217792,Calibrated,Stream
Human,1,1,Line,58,Visual,TE,3.5,3.5,3.92,5.75,6.940764747,Calibrated,Target
Human,1,1,Line,58,Visual,TE,5.75,3.5,5.87,5.75,6.940764747,Calibrated,Stream
Human,1,1,Line,59,Visual,TE,5.5,5.5,4.1,7.25,7.315375275,Calibrated,Target
Human,1,1,Line,59,Visual,TE,7.25,5.5,6.04,7.25,7.315375275,Calibrated,Stream
Human,1,1,Line,60,Visual,TE,3,3,3.89,5.25,6.532648645,Calibrated,Target
Human,1,1,Line,60,Visual,TE,5.25,3,5.99,5.25,6.532648645,Calibrated,Stream
Human,1,1,Line,61,Visual,TE,2,2,1.6,4.75,5.503184339,Calibrated,Target
Human,1,1,Line,61,Visual,TE,4.75,2,3.35,4.75,5.503184339,Calibrated,Stream
Human,1,1,Line,62,Visual,TE,1,1,1.21,7.25,7.365740492,Calibrated,Target
Human,1,1,Line,62,Visual,TE,7.25,1,5.89,7.25,7.365740492,Calibrated,Stream
Human,1,1,Line,63,Visual,TE,3,3,1.7,5.25,5.948125239,Calibrated,Target
Human,1,1,Line,63,Visual,TE,5.25,3,5.44,5.25,5.948125239,Calibrated,Stream
Human,1,1,Line,64,Visual,TE,3.5,3.5,5.14,6.75,7.31683053,Calibrated,Target
Human,1,1,Line,64,Visual,TE,6.75,3.5,7.13,6.75,7.31683053,Calibrated,Stream
Human,1,1,Line,65,Visual,TE,1.5,1.5,1.89,6.25,9.853351357,Calibrated,Target
Human,1,1,Line,65,Visual,TE,6.25,1.5,5.41,6.25,9.853351357,Calibrated,Stream
Human,1,1,Line,66,Visual,TE,2,2,2.51,6.25,4.959376069,Calibrated,Target
Human,1,1,Line,66,Visual,TE,6.25,2,6.71,6.25,4.959376069,Calibrated,Stream
Human,1,1,Line,67,Visual,TE,4,4,6.67,5.25,5.231662356,Calibrated,Target
Human,1,1,Line,67,Visual,TE,5.25,4,7.89,5.25,5.231662356,Calibrated,Stream
Human,1,1,Line,68,Visual,TE,2.5,2.5,3.14,4.75,13.61393312,Calibrated,Target
Human,1,1,Line,68,Visual,TE,4.75,2.5,5.16,4.75,13.61393312,Calibrated,Stream
Human,1,1,Line,69,Visual,TE,1.5,1.5,1.79,4.75,5.163914677,Calibrated,Target
Human,1,1,Line,69,Visual,TE,4.75,1.5,4.12,4.75,5.163914677,Calibrated,Stream
Human,1,1,Line,70,Visual,TE,6,6,6.89,7.25,5.057490004,Calibrated,Target
Human,1,1,Line,70,Visual,TE,7.25,6,8.39,7.25,5.057490004,Calibrated,Stream
Human,1,1,Line,71,Visual,TE,3.5,3.5,3.79,4.75,8.23532449,Calibrated,Target
Human,1,1,Line,71,Visual,TE,4.75,3.5,5.44,4.75,8.23532449,Calibrated,Stream
Human,1,1,Line,72,Visual,TE,2,2,1.21,4.75,4.704807306,Calibrated,Target
Human,1,1,Line,72,Visual,TE,4.75,2,3.53,4.75,4.704807306,Calibrated,Stream
Human,1,1,Motor,85,Visual,TE,5,5,6.78,6.75,8.354,Calibrated,Target
Human,1,1,Motor,85,Visual,TE,6.75,5,8.35,6.75,8.354,Calibrated,Stream
Human,1,1,Motor,86,Visual,TE,3,3,3.18,5.25,4.102,Calibrated,Target
Human,1,1,Motor,86,Visual,TE,5.25,3,4.1,5.25,4.102,Calibrated,Stream
Human,1,1,Motor,87,Visual,TE,2,2,1.79,6.75,4.696,Calibrated,Target
Human,1,1,Motor,87,Visual,TE,6.75,2,4.7,6.75,4.696,Calibrated,Stream
Human,1,1,Motor,88,Visual,TE,2.5,2.5,2.81,6.75,3.164,Calibrated,Target
Human,1,1,Motor,88,Visual,TE,6.75,2.5,3.16,6.75,3.164,Calibrated,Stream
Human,1,1,Motor,89,Visual,TE,3,3,3.15,6.75,5.678,Calibrated,Target
Human,1,1,Motor,89,Visual,TE,6.75,3,5.68,6.75,5.678,Calibrated,Stream
Human,1,1,Motor,90,Visual,TE,4.5,4.5,4.38,5.75,5.69,Calibrated,Target
Human,1,1,Motor,90,Visual,TE,5.75,4.5,5.69,5.75,5.69,Calibrated,Stream
Human,1,1,Motor,91,Visual,TE,4.5,4.5,5.75,5.75,6.41,Calibrated,Target
Human,1,1,Motor,91,Visual,TE,5.75,4.5,6.41,5.75,6.41,Calibrated,Stream
Human,1,1,Motor,92,Visual,TE,1.5,1.5,1.56,4.75,4.19,Calibrated,Target
Human,1,1,Motor,92,Visual,TE,4.75,1.5,4.19,4.75,4.19,Calibrated,Stream
Human,1,1,Motor,93,Visual,TE,2.5,2.5,2.73,5.25,4.587,Calibrated,Target
Human,1,1,Motor,93,Visual,TE,5.25,2.5,4.59,5.25,4.587,Calibrated,Stream
Human,1,1,Motor,94,Visual,TE,3.5,3.5,3.63,7.25,6.869,Calibrated,Target
Human,1,1,Motor,94,Visual,TE,7.25,3.5,6.87,7.25,6.869,Calibrated,Stream
Human,1,1,Motor,95,Visual,TE,2,2,1.92,4.75,4.552,Calibrated,Target
Human,1,1,Motor,95,Visual,TE,4.75,2,4.55,4.75,4.552,Calibrated,Stream
Human,1,1,Motor,96,Visual,TE,1,1,1.86,6.75,4.04,Calibrated,Target
Human,1,1,Motor,96,Visual,TE,6.75,1,4.04,6.75,4.04,Calibrated,Stream
Human,1,1,Motor,97,Visual,TE,2,2,2.42,5.75,6.552,Calibrated,Target
Human,1,1,Motor,97,Visual,TE,5.75,2,6.55,5.75,6.552,Calibrated,Stream
Human,1,1,Motor,98,Visual,TE,4,4,4.4,5.75,4.823,Calibrated,Target
Human,1,1,Motor,98,Visual,TE,5.75,4,4.82,5.75,4.823,Calibrated,Stream
Human,1,1,Motor,99,Visual,TE,2,2,2.66,6.25,6.494,Calibrated,Target
Human,1,1,Motor,99,Visual,TE,6.25,2,6.49,6.25,6.494,Calibrated,Stream
Human,1,1,Motor,100,Visual,TE,2,2,3,7.25,6.74,Calibrated,Target
Human,1,1,Motor,100,Visual,TE,7.25,2,6.74,7.25,6.74,Calibrated,Stream
Human,1,1,Motor,101,Visual,TE,3,3,3.11,4.75,4.646,Calibrated,Target
Human,1,1,Motor,101,Visual,TE,4.75,3,4.65,4.75,4.646,Calibrated,Stream
Human,1,1,Motor,102,Visual,TE,2.5,2.5,1.92,6.75,5.395,Calibrated,Target
Human,1,1,Motor,102,Visual,TE,6.75,2.5,5.39,6.75,5.395,Calibrated,Stream
Human,1,1,Motor,103,Visual,TE,4,4,3.14,5.25,4.719,Calibrated,Target
Human,1,1,Motor,103,Visual,TE,5.25,4,4.72,5.25,4.719,Calibrated,Stream
Human,1,1,Motor,104,Visual,TE,4,4,3.48,5.75,4.414,Calibrated,Target
Human,1,1,Motor,104,Visual,TE,5.75,4,4.41,5.75,4.414,Calibrated,Stream
Human,1,1,Motor,105,Visual,TE,5,5,4.42,6.25,5.126,Calibrated,Target
Human,1,1,Motor,105,Visual,TE,6.25,5,5.13,6.25,5.126,Calibrated,Stream
Human,1,1,Motor,106,Visual,TE,2,2,1.53,4.75,3.47,Calibrated,Target
Human,1,1,Motor,106,Visual,TE,4.75,2,3.47,4.75,3.47,Calibrated,Stream
Human,1,1,Motor,107,Visual,TE,1,1,1.9,5.25,4.698,Calibrated,Target
Human,1,1,Motor,107,Visual,TE,5.25,1,4.7,5.25,4.698,Calibrated,Stream
Human,1,1,Motor,108,Visual,TE,2,2,2.46,6.75,6.774,Calibrated,Target
