Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Method,Parameter,SOA,Stim_Type_1,Stim_Dur_1,Stim_Type_2,Stim_Dur_2,Accuracy,Reaction_Time,Condition
Human,2,1,1,38,Auditory,TOJ,Adaptive,Duration,0.135,Auditory,0.7,Auditory,0.835,0,N/A,Filled
Human,2,1,1,39,Auditory,TOJ,Adaptive,Duration,0.125,Auditory,0.825,Auditory,0.7,0,N/A,Filled
Human,2,1,1,40,Auditory,TOJ,Adaptive,Duration,0.115,Auditory,0.815,Auditory,0.7,1,N/A,Filled
Human,2,1,1,41,Auditory,TOJ,Adaptive,Duration,0.105,Auditory,0.805,Auditory,0.7,1,N/A,Filled
Human,2,1,1,42,Auditory,TOJ,Adaptive,Duration,0.135,Auditory,0.835,Auditory,0.7,0,N/A,Filled
Human,2,1,1,43,Auditory,TOJ,Adaptive,Duration,0.125,Auditory,0.7,Auditory,0.825,0,N/A,Filled
Human,2,1,1,44,Auditory,TOJ,Adaptive,Duration,0.155,Auditory,0.855,Auditory,0.7,1,N/A,Filled
Human,2,1,1,45,Auditory,TOJ,Adaptive,Duration,0.145,Auditory,0.845,Auditory,0.7,1,N/A,Filled
Human,2,1,1,46,Auditory,TOJ,Adaptive,Duration,0.175,Auditory,0.7,Auditory,0.875,1,N/A,Filled
Human,2,1,1,47,Auditory,TOJ,Adaptive,Duration,0.165,Auditory,0.7,Auditory,0.865,1,N/A,Filled
Human,2,1,1,48,Auditory,TOJ,Adaptive,Duration,0.195,Auditory,0.7,Auditory,0.895,0,N/A,Filled
Human,2,1,1,49,Auditory,TOJ,Adaptive,Duration,0.185,Auditory,0.7,Auditory,0.885,1,N/A,Filled
Human,2,1,1,50,Auditory,TOJ,Adaptive,Duration,0.175,Auditory,0.7,Auditory,0.875,1,N/A,Filled
Human,3,1,1,1,Auditory,TOJ,Adaptive,Duration,0.3,Auditory,0.7,Auditory,1,0,N/A,Filled
Human,3,1,1,2,Auditory,TOJ,Adaptive,Duration,0.285,Auditory,0.985,Auditory,0.7,0,N/A,Filled
Human,3,1,1,3,Auditory,TOJ,Adaptive,Duration,0.27,Auditory,0.7,Auditory,0.97,0,N/A,Filled
Human,3,1,1,4,Auditory,TOJ,Adaptive,Duration,0.255,Auditory,0.7,Auditory,0.955,1,N/A,Filled
Human,3,1,1,5,Auditory,TOJ,Adaptive,Duration,0.24,Auditory,0.7,Auditory,0.94,1,N/A,Filled
Human,3,1,1,6,Auditory,TOJ,Adaptive,Duration,0.225,Auditory,0.7,Auditory,0.925,1,N/A,Filled
Human,3,1,1,7,Auditory,TOJ,Adaptive,Duration,0.21,Auditory,0.7,Auditory,0.91,1,N/A,Filled
Human,3,1,1,8,Auditory,TOJ,Adaptive,Duration,0.195,Auditory,0.895,Auditory,0.7,0,N/A,Filled
