Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Method,Parameter,SOA,Stim_Type_1,Stim_Dur_1,Stim_Type_2,Stim_Dur_2,Accuracy,Reaction_Time
Human,1,1,1,28,Visual,TOJ,Adaptive,Duration,0.135,Visual,0.7,Visual,0.835,0,0.681
Human,1,1,1,29,Visual,TOJ,Adaptive,Duration,0.18,Visual,0.7,Visual,0.88,0,0.593
Human,1,1,1,30,Visual,TOJ,Adaptive,Duration,0.225,Visual,0.7,Visual,0.925,0,0.64
Human,1,1,1,31,Visual,TOJ,Adaptive,Duration,0.215,Visual,0.7,Visual,0.915,0,0.617
Human,1,1,1,32,Visual,TOJ,Adaptive,Duration,0.205,Visual,0.7,Visual,0.905,0,0.964
Human,1,1,1,33,Visual,TOJ,Adaptive,Duration,0.195,Visual,0.7,Visual,0.895,0,0.539
Human,1,1,1,34,Visual,TOJ,Adaptive,Duration,0.185,Visual,0.7,Visual,0.885,1,0.553
Human,1,1,1,35,Visual,TOJ,Adaptive,Duration,0.175,Visual,0.7,Visual,0.875,1,0.924
Human,1,1,1,36,Visual,TOJ,Adaptive,Duration,0.165,Visual,0.7,Visual,0.865,1,0.953
Human,1,1,1,37,Visual,TOJ,Adaptive,Duration,0.155,Visual,0.7,Visual,0.855,1,0.521
Human,1,1,1,38,Visual,TOJ,Adaptive,Duration,0.145,Visual,0.7,Visual,0.845,1,0.966
Human,1,1,1,39,Visual,TOJ,Adaptive,Duration,0.135,Visual,0.7,Visual,0.835,0,0.85
Human,1,1,1,40,Visual,TOJ,Adaptive,Duration,0.125,Visual,0.7,Visual,0.825,0,0.662
Human,1,1,1,41,Visual,TOJ,Adaptive,Duration,0.115,Visual,0.7,Visual,0.815,0,0.566
Human,1,1,1,42,Visual,TOJ,Adaptive,Duration,0.105,Visual,0.7,Visual,0.805,0,0.75
Human,1,1,1,43,Visual,TOJ,Adaptive,Duration,0.095,Visual,0.7,Visual,0.795,0,0.598
Human,1,1,1,44,Visual,TOJ,Adaptive,Duration,0.125,Visual,0.7,Visual,0.825,0,0.827
Human,1,1,1,45,Visual,TOJ,Adaptive,Duration,0.155,Visual,0.7,Visual,0.855,1,0.658
Human,1,1,1,46,Visual,TOJ,Adaptive,Duration,0.145,Visual,0.7,Visual,0.845,1,0.589
Human,1,1,1,47,Visual,TOJ,Adaptive,Duration,0.135,Visual,0.7,Visual,0.835,0,0.807
Human,1,1,1,48,Visual,TOJ,Adaptive,Duration,0.125,Visual,0.7,Visual,0.825,1,0.97
Human,1,1,1,49,Visual,TOJ,Adaptive,Duration,0.115,Visual,0.7,Visual,0.815,1,0.657
Human,1,1,1,50,Visual,TOJ,Adaptive,Duration,0.105,Visual,0.7,Visual,0.805,0,0.968
Human,1,1,1,1,Auditory,Training,Adaptive,Duration,0.3,Auditory,0.7,Auditory,1,1,0.55
Human,1,1,1,2,Auditory,Training,Adaptive,Duration,0.29,Auditory,0.99,Auditory,0.7,1,0.784
Human,1,1,1,3,Auditory,Training,Adaptive,Duration,0.28,Auditory,0.7,Auditory,0.98,1,0.509
Human,1,1,1,4,Auditory,Training,Adaptive,Duration,0.27,Auditory,0.7,Auditory,0.97,1,0.887
Human,1,1,1,5,Auditory,Training,Adaptive,Duration,0.26,Auditory,0.7,Auditory,0.96,1,0.755
Human,1,1,1,1,Auditory,TOJ,Adaptive,Duration,0.3,Auditory,0.7,Auditory,1,1,0.839
Human,1,1,1,2,Auditory,TOJ,Adaptive,Duration,0.285,Auditory,0.7,Auditory,0.985,1,0.788
Human,1,1,1,3,Auditory,TOJ,Adaptive,Duration,0.27,Auditory,0.7,Auditory,0.97,1,0.979
Human,1,1,1,4,Auditory,TOJ,Adaptive,Duration,0.255,Auditory,0.7,Auditory,0.955,1,0.682
Human,1,1,1,5,Auditory,TOJ,Adaptive,Duration,0.24,Auditory,0.7,Auditory,0.94,1,0.903
Human,1,1,1,6,Auditory,TOJ,Adaptive,Duration,0.225,Auditory,0.7,Auditory,0.925,1,0.557
Human,1,1,1,7,Auditory,TOJ,Adaptive,Duration,0.21,Auditory,0.91,Auditory,0.7,0,0.602
Human,1,1,1,8,Auditory,TOJ,Adaptive,Duration,0.195,Auditory,0.7,Auditory,0.895,0,0.804
Human,1,1,1,9,Auditory,TOJ,Adaptive,Duration,0.18,Auditory,0.88,Auditory,0.7,0,0.926
Human,1,1,1,10,Auditory,TOJ,Adaptive,Duration,0.165,Auditory,0.7,Auditory,0.865,0,0.718
Human,1,1,1,11,Auditory,TOJ,Adaptive,Duration,0.15,Auditory,0.7,Auditory,0.85,1,0.702
Human,1,1,1,12,Auditory,TOJ,Adaptive,Duration,0.135,Auditory,0.7,Auditory,0.835,1,0.661
Human,1,1,1,13,Auditory,TOJ,Adaptive,Duration,0.12,Auditory,0.82,Auditory,0.7,0,0.517
Human,1,1,1,14,Auditory,TOJ,Adaptive,Duration,0.105,Auditory,0.7,Auditory,0.805,0,0.984
Human,1,1,1,15,Auditory,TOJ,Adaptive,Duration,0.15,Auditory,0.7,Auditory,0.85,0,0.56
Human,1,1,1,16,Auditory,TOJ,Adaptive,Duration,0.135,Auditory,0.7,Auditory,0.835,1,0.519
Human,1,1,1,17,Auditory,TOJ,Adaptive,Duration,0.12,Auditory,0.82,Auditory,0.7,0,0.846
Human,1,1,1,18,Auditory,TOJ,Adaptive,Duration,0.105,Auditory,0.7,Auditory,0.805,0,0.713
Human,1,1,1,19,Auditory,TOJ,Adaptive,Duration,0.15,Auditory,0.85,Auditory,0.7,1,0.604
Human,1,1,1,20,Auditory,TOJ,Adaptive,Duration,0.135,Auditory,0.835,Auditory,0.7,1,0.81
Human,1,1,1,21,Auditory,TOJ,Adaptive,Duration,0.12,Auditory,0.7,Auditory,0.82,0,0.724
Human,1,1,1,22,Auditory,TOJ,Adaptive,Duration,0.105,Auditory,0.805,Auditory,0.7,0,0.99
Human,1,1,1,23,Auditory,TOJ,Adaptive,Duration,0.09,Auditory,0.79,Auditory,0.7,1,0.654
Human,1,1,1,24,Auditory,TOJ,Adaptive,Duration,0.075,Auditory,0.7,Auditory,0.775,0,0.748
Human,1,1,1,25,Auditory,TOJ,Adaptive,Duration,0.12,Auditory,0.82,Auditory,0.7,1,0.527
Human,1,1,1,26,Auditory,TOJ,Adaptive,Duration,0.105,Auditory,0.805,Auditory,0.7,1,0.656
Human,1,1,1,27,Auditory,TOJ,Adaptive,Duration,0.09,Auditory,0.79,Auditory,0.7,1,0.897
Human,1,1,1,28,Auditory,TOJ,Adaptive,Duration,0.075,Auditory,0.7,Auditory,0.775,0,0.805
Human,1,1,1,29,Auditory,TOJ,Adaptive,Duration,0.12,Auditory,0.82,Auditory,0.7,1,0.841
Human,1,1,1,30,Auditory,TOJ,Adaptive,Duration,0.105,Auditory,0.805,Auditory,0.7,1,0.762
Human,1,1,1,31,Auditory,TOJ,Adaptive,Duration,0.095,Auditory,0.795,Auditory,0.7,1,0.669
Human,1,1,1,32,Auditory,TOJ,Adaptive,Duration,0.085,Auditory,0.7,Auditory,0.785,0,0.661
Human,1,1,1,33,Auditory,TOJ,Adaptive,Duration,0.075,Auditory,0.775,Auditory,0.7,0,0.81
Human,1,1,1,34,Auditory,TOJ,Adaptive,Duration,0.065,Auditory,0.7,Auditory,0.765,0,0.949
Human,1,1,1,35,Auditory,TOJ,Adaptive,Duration,0.055,Auditory,0.755,Auditory,0.7,0,0.882
Human,1,1,1,36,Auditory,TOJ,Adaptive,Duration,0.045,Auditory,0.745,Auditory,0.7,1,0.87
Human,1,1,1,37,Auditory,TOJ,Adaptive,Duration,0.035,Auditory,0.735,Auditory,0.7,1,0.585
Human,1,1,1,38,Auditory,TOJ,Adaptive,Duration,0.025,Auditory,0.7,Auditory,0.725,0,0.597
Human,1,1,1,39,Auditory,TOJ,Adaptive,Duration,0.055,Auditory,0.7,Auditory,0.755,0,0.592
Human,1,1,1,40,Auditory,TOJ,Adaptive,Duration,0.085,Auditory,0.785,Auditory,0.7,1,0.538
Human,1,1,1,41,Auditory,TOJ,Adaptive,Duration,0.075,Auditory,0.7,Auditory,0.775,0,0.571
Human,1,1,1,42,Auditory,TOJ,Adaptive,Duration,0.105,Auditory,0.7,Auditory,0.805,0,0.61
Human,1,1,1,43,Auditory,TOJ,Adaptive,Duration,0.135,Auditory,0.7,Auditory,0.835,0,0.729
Human,1,1,1,44,Auditory,TOJ,Adaptive,Duration,0.165,Auditory,0.865,Auditory,0.7,1,0.916
Human,1,1,1,45,Auditory,TOJ,Adaptive,Duration,0.155,Auditory,0.855,Auditory,0.7,1,0.982
Human,1,1,1,46,Auditory,TOJ,Adaptive,Duration,0.145,Auditory,0.7,Auditory,0.845,0,0.969
Human,1,1,1,47,Auditory,TOJ,Adaptive,Duration,0.135,Auditory,0.7,Auditory,0.835,1,0.898
Human,1,1,1,48,Auditory,TOJ,Adaptive,Duration,0.125,Auditory,0.825,Auditory,0.7,0,0.807
Human,1,1,1,49,Auditory,TOJ,Adaptive,Duration,0.115,Auditory,0.7,Auditory,0.815,0,0.531
Human,1,1,1,50,Auditory,TOJ,Adaptive,Duration,0.105,Auditory,0.7,Auditory,0.805,1,0.837
Human,2,2,1,1,Visual,Training,Adaptive,Duration,0.3,Visual,0.7,Visual,1,1,0.574
Human,2,2,1,2,Visual,Training,Adaptive,Duration,0.29,Visual,0.7,Visual,0.99,0,0.781
Human,2,2,1,3,Visual,Training,Adaptive,Duration,0.32,Visual,0.7,Visual,1.02,1,0.557
Human,2,2,1,4,Visual,Training,Adaptive,Duration,0.31,Visual,0.7,Visual,1.01,0,0.701
Human,2,2,1,5,Visual,Training,Adaptive,Duration,0.34,Visual,0.7,Visual,1.04,0,0.605
Human,2,2,1,1,Visual,TOJ,Adaptive,Duration,0.3,Visual,0.7,Visual,1,1,0.838
Human,2,2,1,2,Visual,TOJ,Adaptive,Duration,0.285,Visual,0.7,Visual,0.985,1,0.593
Human,2,2,1,3,Visual,TOJ,Adaptive,Duration,0.33,Visual,0.7,Visual,1.03,1,0.658
Human,2,2,1,4,Visual,TOJ,Adaptive,Duration,0.375,Visual,0.7,Visual,1.075,1,0.843
Human,2,2,1,5,Visual,TOJ,Adaptive,Duration,0.42,Visual,0.7,Visual,1.12,1,0.789
Human,2,2,1,6,Visual,TOJ,Adaptive,Duration,0.405,Visual,0.7,Visual,1.105,1,0.96
Human,2,2,1,7,Visual,TOJ,Adaptive,Duration,0.39,Visual,0.7,Visual,1.09,1,0.698
Human,2,2,1,8,Visual,TOJ,Adaptive,Duration,0.375,Visual,0.7,Visual,1.075,0,0.694
Human,2,2,1,9,Visual,TOJ,Adaptive,Duration,0.36,Visual,0.7,Visual,1.06,1,0.85
Human,2,2,1,10,Visual,TOJ,Adaptive,Duration,0.345,Visual,0.7,Visual,1.045,0,0.79
Human,2,2,1,11,Visual,TOJ,Adaptive,Duration,0.33,Visual,0.7,Visual,1.03,0,0.766
Human,2,2,1,12,Visual,TOJ,Adaptive,Duration,0.315,Visual,0.7,Visual,1.015,1,0.709
Human,2,2,1,13,Visual,TOJ,Adaptive,Duration,0.36,Visual,0.7,Visual,1.06,0,0.602
Human,2,2,1,14,Visual,TOJ,Adaptive,Duration,0.345,Visual,0.7,Visual,1.045,1,0.774
Human,2,2,1,15,Visual,TOJ,Adaptive,Duration,0.33,Visual,0.7,Visual,1.03,0,0.886
Human,2,2,1,16,Visual,TOJ,Adaptive,Duration,0.315,Visual,0.7,Visual,1.015,0,0.971
Human,2,2,1,17,Visual,TOJ,Adaptive,Duration,0.36,Visual,0.7,Visual,1.06,0,0.726
Human,2,2,1,18,Visual,TOJ,Adaptive,Duration,0.345,Visual,0.7,Visual,1.045,0,0.856
Human,2,2,1,19,Visual,TOJ,Adaptive,Duration,0.33,Visual,0.7,Visual,1.03,0,0.921
Human,2,2,1,20,Visual,TOJ,Adaptive,Duration,0.315,Visual,0.7,Visual,1.015,0,0.856
Human,2,2,1,21,Visual,TOJ,Adaptive,Duration,0.3,Visual,0.7,Visual,1,0,0.801
Human,2,2,1,22,Visual,TOJ,Adaptive,Duration,0.345,Visual,0.7,Visual,1.045,0,0.927
Human,2,2,1,23,Visual,TOJ,Adaptive,Duration,0.33,Visual,0.7,Visual,1.03,0,0.552
